path_in_rawtiffs,old_row_filename,location,date,new_row_filename,reason
archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Cape_Lisburne.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Cape_Lisburne.tif,Cape Lisburne,2026-03-19,acasis_sec_03-19-2026_Cape_Lisburne.zip,superseded by FAA original
archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Chicago.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Chicago.tif,Chicago,2026-03-19,acasis_sec_03-19-2026_Chicago.zip,superseded by FAA original
archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Cincinnati.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Cincinnati.tif,Cincinnati,2026-03-19,acasis_sec_03-19-2026_Cincinnati.zip,superseded by FAA original
archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Cold_Bay.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Cold_Bay.tif,Cold Bay,2026-03-19,acasis_sec_03-19-2026_Cold_Bay.zip,superseded by FAA original
ifly_vfrsec_20260122/ifly_vfrsec_20260122_Brownsville.tif,ifly_vfrsec_20260122_Brownsville.tif,Brownsville,2026-01-22,acasis_sec_01-22-2026_Brownsville.zip,superseded by FAA original
ifly_vfrsec_20260122/ifly_vfrsec_20260122_Detroit.tif,ifly_vfrsec_20260122_Detroit.tif,Detroit,2026-01-22,acasis_sec_01-22-2026_Detroit.zip,superseded by FAA original
ifly_vfrsec_20260122/ifly_vfrsec_20260122_Fairbanks.tif,ifly_vfrsec_20260122_Fairbanks.tif,Fairbanks,2026-01-22,acasis_sec_01-22-2026_Fairbanks.zip,superseded by FAA original
ifly_vfrsec_20260122/ifly_vfrsec_20260122_Memphis.tif,ifly_vfrsec_20260122_Memphis.tif,Memphis,2026-01-22,acasis_sec_01-22-2026_Memphis.zip,superseded by FAA original
ifly_vfrsec_20260122/ifly_vfrsec_20260122_New_Orleans.tif,ifly_vfrsec_20260122_New_Orleans.tif,New Orleans,2026-01-22,acasis_sec_01-22-2026_New_Orleans.zip,superseded by FAA original
ifly_vfrsec_20260122/ifly_vfrsec_20260122_Nome.tif,ifly_vfrsec_20260122_Nome.tif,Nome,2026-01-22,acasis_sec_01-22-2026_Nome.zip,superseded by FAA original
ifly_vfrsec_20260122/ifly_vfrsec_20260122_Omaha.tif,ifly_vfrsec_20260122_Omaha.tif,Omaha,2026-01-22,acasis_sec_01-22-2026_Omaha.zip,superseded by FAA original
ifly_vfrsec_20260122/ifly_vfrsec_20260122_Phoenix.tif,ifly_vfrsec_20260122_Phoenix.tif,Phoenix,2026-01-22,acasis_sec_01-22-2026_Phoenix.zip,superseded by FAA original
web.archive.org_web_20251215023415_aeronav.faa.gov_visual_11-27-2025_PDFs_Halifax.tif,web.archive.org_web_20251215023415_aeronav.faa.gov_visual_11-27-2025_PDFs_Halifax.tif,Halifax,2025-11-27,acasis_sec_11-27-2025_Halifax.zip,superseded by FAA original
web.archive.org_web_20251215023507_aeronav.faa.gov_visual_11-27-2025_PDFs_Montreal.tif,web.archive.org_web_20251215023507_aeronav.faa.gov_visual_11-27-2025_PDFs_Montreal.tif,Montreal,2025-11-27,acasis_sec_11-27-2025_Montreal.zip,superseded by FAA original
web.archive.org_web_20251223172356_aeronav.faa.gov_visual_11-27-2025_PDFs_Salt_Lake_City.tif,web.archive.org_web_20251223172356_aeronav.faa.gov_visual_11-27-2025_PDFs_Salt_Lake_City.tif,Salt Lake City,2025-11-27,acasis_sec_11-27-2025_Salt_Lake_City.zip,superseded by FAA original
web.archive.org_web_20251223172528_aeronav.faa.gov_visual_11-27-2025_PDFs_Chicago.tif,web.archive.org_web_20251223172528_aeronav.faa.gov_visual_11-27-2025_PDFs_Chicago.tif,Chicago,2025-11-27,acasis_sec_11-27-2025_Chicago.zip,superseded by FAA original
web.archive.org_web_20251223172600_aeronav.faa.gov_visual_11-27-2025_PDFs_Dutch_Harbor.tif,web.archive.org_web_20251223172600_aeronav.faa.gov_visual_11-27-2025_PDFs_Dutch_Harbor.tif,Dutch Harbor,2025-11-27,acasis_sec_11-27-2025_Dutch_Harbor.zip,superseded by FAA original
web.archive.org_web_20251223172855_aeronav.faa.gov_visual_11-27-2025_PDFs_Omaha.tif,web.archive.org_web_20251223172855_aeronav.faa.gov_visual_11-27-2025_PDFs_Omaha.tif,Omaha,2025-11-27,acasis_sec_11-27-2025_Omaha.zip,superseded by FAA original
web.archive.org_web_20251223173402_aeronav.faa.gov_visual_11-27-2025_PDFs_Cold_Bay.tif,web.archive.org_web_20251223173402_aeronav.faa.gov_visual_11-27-2025_PDFs_Cold_Bay.tif,Cold Bay,2025-11-27,acasis_sec_11-27-2025_Cold_Bay.zip,superseded by FAA original
