download_link,filename,date,location,edition
https://web.archive.org/web/20240420162319/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Los_Angeles.pdf,web.archive.org_web_20240420162319_aeronav.faa.gov_visual_01-25-2024_PDFs_Los_Angeles.pdf,2024-01-25,Los Angeles,Unknown
https://web.archive.org/web/20240420155413/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Los_Angeles_Heli.pdf,web.archive.org_web_20240420155413_aeronav.faa.gov_visual_01-25-2024_PDFs_Los_Angeles_Heli.pdf,2024-01-25,Los Angeles,Unknown
https://web.archive.org/web/20240420172743/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Los_Angeles_TAC.pdf,web.archive.org_web_20240420172743_aeronav.faa.gov_visual_01-25-2024_PDFs_Los_Angeles_TAC.pdf,2024-01-25,Los Angeles,Unknown
https://web.archive.org/web/20240420170648/https://aeronav.faa.gov/visual/01-25-2024/PDFs/McGrath.pdf,web.archive.org_web_20240420170648_aeronav.faa.gov_visual_01-25-2024_PDFs_McGrath.pdf,2024-01-25,McGrath,Unknown
https://web.archive.org/web/20240420161311/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Memphis.pdf,web.archive.org_web_20240420161311_aeronav.faa.gov_visual_01-25-2024_PDFs_Memphis.pdf,2024-01-25,Memphis,Unknown
https://web.archive.org/web/20240420180448/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Memphis_TAC.pdf,web.archive.org_web_20240420180448_aeronav.faa.gov_visual_01-25-2024_PDFs_Memphis_TAC.pdf,2024-01-25,Memphis,Unknown
https://web.archive.org/web/20240321141913/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Miami.pdf,web.archive.org_web_20240321141913_aeronav.faa.gov_visual_01-25-2024_PDFs_Miami.pdf,2024-01-25,Miami,Unknown
https://web.archive.org/web/20240420171213/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Miami_TAC.pdf,web.archive.org_web_20240420171213_aeronav.faa.gov_visual_01-25-2024_PDFs_Miami_TAC.pdf,2024-01-25,Miami,Unknown
https://web.archive.org/web/20240420173133/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Minneapolis-St_Paul_TAC.pdf,web.archive.org_web_20240420173133_aeronav.faa.gov_visual_01-25-2024_PDFs_Minneapolis-St_Paul_TAC.pdf,2024-01-25,Minneapolis-St Paul,Unknown
https://web.archive.org/web/20240420175334/https://aeronav.faa.gov/visual/01-25-2024/PDFs/Montreal.pdf,web.archive.org_web_20240420175334_aeronav.faa.gov_visual_01-25-2024_PDFs_Montreal.pdf,2024-01-25,Montreal,Unknown
